,Country,Activity,Year
2,USA,Surfing,2018
12,USA,Swimming,2018
53,USA,Surfing,2017
54,USA,Surfing,2017
61,USA,Surfing,2017
70,USA,Swimming,2017
73,USA,Swimming,2017
74,USA,Surfing,2017
77,USA,Surfing,2017
79,USA,Surfing,2017
81,USA,Surfing,2017
83,USA,Surfing,2017
87,USA,Surfing,2017
93,USA,Swimming,2017
95,USA,Surfing,2017
102,USA,Swimming,2017
107,USA,Swimming,2017
115,USA,Swimming,2017
118,USA,Surfing,2017
121,USA,Swimming,2017
126,USA,Swimming,2017
127,USA,Surfing,2017
128,USA,Swimming,2017
135,USA,Surfing,2017
145,USA,Surfing,2017
146,USA,Swimming,2017
148,USA,Surfing,2017
153,USA,Swimming,2017
156,USA,Surfing,2017
157,USA,Surfing,2017
158,USA,Surfing,2017
160,USA,Surfing,2017
162,USA,Swimming,2017
163,USA,Swimming,2017
164,USA,Swimming,2017
166,USA,Swimming,2017
167,USA,Surfing,2017
176,USA,Swimming,2017
190,USA,Surfing,2016
195,USA,Surfing,2016
200,USA,Surfing,2016
201,USA,Surfing,2016
203,USA,Surfing,2016
208,USA,Surfing,2016
209,USA,Surfing,2016
212,USA,Surfing,2016
215,USA,Surfing,2016
220,USA,Swimming,2016
227,USA,Surfing,2016
233,USA,Surfing,2016
244,USA,Surfing,2016
247,USA,Swimming,2016
253,USA,Swimming,2016
256,USA,Surfing,2016
261,USA,Surfing,2016
265,USA,Surfing,2016
266,USA,Swimming,2016
272,USA,Swimming,2016
274,USA,Swimming,2016
275,USA,Swimming,2016
277,USA,Swimming,2016
282,USA,Surfing,2016
297,USA,Surfing,2016
312,USA,Surfing,2016
313,USA,Surfing,2016
330,USA,Surfing,2015
331,USA,Swimming,2015
332,USA,Surfing,2015
334,USA,Surfing,2015
335,USA,Swimming,2015
341,USA,Surfing,2015
342,USA,Surfing,2015
344,USA,Surfing,2015
345,USA,Swimming,2015
348,USA,Surfing,2015
353,USA,Surfing,2015
354,USA,Surfing,2015
357,USA,Surfing,2015
362,USA,Swimming,2015
363,USA,Surfing,2015
371,USA,Surfing,2015
375,USA,Surfing,2015
383,USA,Surfing,2015
390,USA,Surfing,2015
397,USA,Swimming,2015
400,USA,Swimming,2015
402,USA,Swimming,2015
407,USA,Swimming,2015
411,USA,Swimming,2015
422,USA,Swimming,2015
423,USA,Surfing,2015
426,USA,Swimming,2015
467,USA,Surfing,2014
476,USA,Surfing,2014
479,USA,Surfing,2014
480,USA,Surfing,2014
485,USA,Surfing,2014
490,USA,Surfing,2014
495,USA,Surfing,2014
497,USA,Surfing,2014
499,USA,Surfing,2014
506,USA,Surfing,2014
510,USA,Surfing,2014
518,USA,Swimming,2014
519,USA,Swimming,2014
521,USA,Swimming,2014
522,USA,Surfing,2014
526,USA,Swimming,2014
530,USA,Swimming,2014
531,USA,Swimming,2014
534,USA,Surfing,2014
535,USA,Swimming,2014
536,USA,Surfing,2014
548,USA,Swimming,2014
557,USA,Surfing,2014
559,USA,Swimming,2014
561,USA,Surfing,2014
563,USA,Swimming,2014
